speaker,sex,age,res,edu,file,speech_rate,word,previous,following,phone_start,phone_end,method,word_id,phone,phone_start_mfa,phone_start_manual,diff,simple_phone,phone_category
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,我,w,ʈʂ,0.61,0.75,Human-Aligner,1,uo3,0.61,0.6469254541211307,0.036925454121130685,uo,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,知道,o˨˩˦,ʐ̩˥˥,0.75,0.89,Human-Aligner,2,zh,0.75,0.8964794138905918,0.14647941389059183,zh,fricative
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,知道,ʈʂ,t,0.89,1.01,Human-Aligner,2,ii1,0.89,0.9112545085421218,0.02125450854212174,ii,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,知道,ʐ̩˥˥,aw˨,1.01,1.08,Human-Aligner,2,d,1.01,1.006284489163094,0.003715510836906022,d,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,的,aw˨,i˥˩,1.27,1.35,Human-Aligner,3,d,1.27,1.2782693884319083,0.008269388431908276,d,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,为什么,w,ʂ,1.54,1.71,Human-Aligner,4,uei4,1.54,1.555166039077369,0.015166039077368909,uei,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,为什么,ej˥˩,ə˧˥,1.71,1.79,Human-Aligner,4,sh,1.71,1.7189956841607863,0.008995684160786332,sh,fricative
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,为什么,ʂ,n,1.79,1.82,Human-Aligner,4,e2,1.79,1.8100336196529376,0.020033619652937595,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,为什么,ə˧˥,m,1.82,1.85,Human-Aligner,4,n,1.82,1.827775357769027,0.007775357769026936,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,为什么,n,ə˨,1.85,1.89,Human-Aligner,4,m,1.85,1.860132907898584,0.010132907898583898,m,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,2.702702702702702,为什么,m,<SIL>,1.89,2.09,Human-Aligner,4,e5,1.89,1.8939432473799271,0.003943247379927239,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,因为,<SIL>,n,3.13,3.26,Human-Aligner,5,i1,3.13,3.178316868911367,0.048316868911367106,i,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,因为,i˥˥,w,3.26,3.29,Human-Aligner,5,n,3.26,3.2775638520464976,0.017563852046497797,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那天,ej˥˩,a˥˩,3.4,3.48,Human-Aligner,6,n,3.4,3.419809633633484,0.01980963363348387,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那天,a˥˩,j,3.6,3.72,Human-Aligner,6,t,3.6,3.593504786797446,0.006495213202553973,t,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那天,j,n,3.72,3.82,Human-Aligner,6,ia1,3.72,3.7349780309669023,0.01497803096690209,ia,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那天,e˥˥,n,3.82,3.86,Human-Aligner,6,n,3.82,3.847760045060536,0.027760045060535976,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那个,n,a˥˩,3.86,3.9,Human-Aligner,7,n,3.86,3.8786130110708457,0.018613011070845786,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那个,n,k,3.9,4,Human-Aligner,7,ei4,3.9,3.910452440585957,0.010452440585956957,ei,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那个,a˥˩,o˥˩,4,4.04,Human-Aligner,7,g,4,3.9992344634558017,7.655365441983086e-4,g,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,那个,k,tʰ,4.04,4.12,Human-Aligner,7,e4,4.04,4.0420964643747315,0.0020964643747314327,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,他们,o˥˩,a˥˥,4.12,4.22,Human-Aligner,8,t,4.12,4.162338585748676,0.042338585748676216,t,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,他们,tʰ,m,4.22,4.27,Human-Aligner,8,a1,4.22,4.210863105288083,0.00913689471191681,a,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,他们,a˥˥,ə˨,4.27,4.33,Human-Aligner,8,m,4.27,4.282657322570654,0.01265732257065455,m,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,他们,m,n,4.33,4.36,Human-Aligner,8,e5,4.33,4.31256732134738,0.01743267865261977,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,他们,ə˨,ʈʂ,4.36,4.41,Human-Aligner,8,n,4.36,4.363355857822207,0.0033558578222070423,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,找到,n,aw˨˩˦,4.41,4.46,Human-Aligner,9,zh,4.41,4.443607430895608,0.033607430895608026,zh,fricative
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.474452554744525,找到,ʈʂ,t,4.46,4.55,Human-Aligner,9,ao3,4.46,4.46835394993301,0.008353949933010085,ao,vowel
