speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,不,b,e5,u4,48.37,48.47
ma_4336,f,25,Canton,14,ma_4336_mfa,6.545454545454546,有,iou3,ei3,i1,23.45,23.48
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,这个,e4,g,n,44.44,44.47
ma_4336,f,25,Canton,14,ma_4336_mfa,6.071428571428577,找,ao3,zh,d,36.02,36.12
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,老公,ao3,l,g,43.58,43.69
ma_4336,f,25,Canton,14,ma_4336_mfa,4.825737265415545,是,sh,ii1,ii4,55.33,55.37
ma_4336,f,25,Canton,14,ma_4336_mfa,6.545454545454546,的,d,v4,e5,25.64,25.71
ma_4336,f,25,Canton,14,ma_4336_mfa,4.825737265415545,男,a2,n,n,57.56,57.7
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,不,u4,b,<SIL>,8.44,8.47
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,没有,iou3,ei2,<SIL>,10.59,10.69
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,懂,d,u4,o3,47.58,47.68
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,他,t,ng,a1,28.98,29.03
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,没,m,v4,ei2,29.59,29.66
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,帮,a1,b,ng,17.32,17.4
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,老公,o1,g,ng,43.79,43.84
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8608058608058595,台,ai2,t,t,5.03,5.15
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,两,ia3,l,ng,41.19,41.26
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,办法,a3,f,m,30.11,30.21
ma_4336,f,25,Canton,14,ma_4336_mfa,5.208333333333329,我们,uo3,<SIL>,m,26.92,27.09
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,就,iu4,j,iao4,29.29,29.32
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,的,e5,d,m,17.63,17.66
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,天,n,ia1,ua3,14.69,14.73
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,懂,ng,o3,n,48.69,48.73
ma_4336,f,25,Canton,14,ma_4336_mfa,6.460674157303367,你,i3,n,j,20.67,20.73
ma_4336,f,25,Canton,14,ma_4336_mfa,6.071428571428577,个,e4,g,j,36.41,36.46
ma_4336,f,25,Canton,14,ma_4336_mfa,6.545454545454546,哪,n,<SIL>,ei3,23.1,23.29
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,后来,h,u4,ou4,30.94,31.0
ma_4336,f,25,Canton,14,ma_4336_mfa,6.460674157303367,是,ii4,sh,g,20.46,20.49
ma_4336,f,25,Canton,14,ma_4336_mfa,6.071428571428577,个,g,i1,e4,35.49,35.54
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,嘛,m,ng,a5,50.23,50.29
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,就,iu4,j,iao4,15.24,15.27
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,当然,a2,r,n,7.9,7.93
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,说,uo1,sh,zh,46.57,46.63
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,乡下,x,ng,ia4,43.09,43.18
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,电话,ia4,d,n,31.72,31.75
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,懂,d,u4,o3,49.93,50.06
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,打,a3,d,d,15.64,15.73
ma_4336,f,25,Canton,14,ma_4336_mfa,6.545454545454546,总,o3,z,ng,23.81,23.87
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,去,v4,q,b,17.18,17.22
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,是,sh,ng,ii4,8.69,8.73
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,钱,n,ia2,l,7.44,7.49
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,忙,ng,a2,<SIL>,17.8,18.03
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,李,i3,l,<SIL>,46.18,46.29
ma_4336,f,25,Canton,14,ma_4336_mfa,6.071428571428577,找,zh,iao4,ao3,35.06,35.19
ma_4336,f,25,Canton,14,ma_4336_mfa,4.825737265415545,比,b,<SIL>,i3,57.13,57.19
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,说,sh,<SIL>,uo1,46.54,46.57
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,两,ng,ia3,g,41.26,41.31
ma_4336,f,25,Canton,14,ma_4336_mfa,6.545454545454546,这样,zh,i3,ei4,24.34,24.4
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,没,ei2,m,b,29.66,29.76
ma_4336,f,25,Canton,14,ma_4336_mfa,4.825737265415545,只,ii1,zh,sh,55.25,55.33
ma_4336,f,25,Canton,14,ma_4336_mfa,6.993006993006994,跟,g,uo3,e1,39.47,39.53
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,就,j,ai2,iu4,31.14,31.24
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,乡下,ia4,x,d,43.18,43.31
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8608058608058595,因,n,i1,uei4,3.26,3.47
ma_4336,f,25,Canton,14,ma_4336_mfa,6.460674157303367,先,ia1,x,n,19.95,20.07
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,给,g,iao1,ei3,10.97,11.05
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,老公,ao3,l,g,49.37,49.5
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,是,sh,u4,ii4,48.92,48.95
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,做,uo4,z,<SIL>,47.96,48.1
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,老公,ng,o1,m,43.84,43.88
ma_4336,f,25,Canton,14,ma_4336_mfa,6.071428571428577,个,e4,g,n,35.54,35.6
ma_4336,f,25,Canton,14,ma_4336_mfa,7.107843137254893,他们,n,e5,l,41.13,41.16
ma_4336,f,25,Canton,14,ma_4336_mfa,6.144067796610171,是,ii4,sh,<SIL>,48.95,49.04
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,忙,m,e5,a2,17.66,17.77
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,跟,g,ua4,e1,31.93,32.02
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,后来,l,ou4,ai2,31.03,31.07
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,打,d,v4,a3,15.57,15.64
ma_4336,f,25,Canton,14,ma_4336_mfa,5.8165548098433995,啦,a1,l,h,9.29,9.32
ma_4336,f,25,Canton,14,ma_4336_mfa,6.6339066339066335,回去,h,iao4,uei2,29.4,29.46
ma_4336,f,25,Canton,14,ma_4336_mfa,5.2356020942408374,回去,v4,q,d,15.52,15.57
