speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,那个,ei4,n,g,9.821889580411822,9.894978972066095
ma_4336,f,25,Canton,14,ma_4336_m,6.135591012491206,这个,zh,e4,ei4,46.904946233847845,47.085514163934285
ma_4336,f,25,Canton,14,ma_4336_m,5.275543428890118,天,n,ia1,ua3,14.70195994165999,14.723009413481773
ma_4336,f,25,Canton,14,ma_4336_m,6.135591012491206,老公,o1,g,ng,49.56625881754457,49.62446178908824
ma_4336,f,25,Canton,14,ma_4336_m,6.472691739133782,来,ai2,l,d,25.117251460082038,25.205213285719875
ma_4336,f,25,Canton,14,ma_4336_m,5.275543428890118,天,ia1,t,n,14.63655146070995,14.70195994165999
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,去,v4,q,n,9.634643752097139,9.756440358243939
ma_4336,f,25,Canton,14,ma_4336_m,4.69246275567496,只,ii1,zh,sh,55.254704511320675,55.32846663314932
ma_4336,f,25,Canton,14,ma_4336_m,6.110768350198114,就,iu4,j,zh,28.479193509903585,28.732577989165666
ma_4336,f,25,Canton,14,ma_4336_m,4.69246275567496,些,x,i1,ie1,58.517176067862025,58.62475167152525
ma_4336,f,25,Canton,14,ma_4336_m,4.8543030136365,我们,m,uo3,e5,27.11435776055842,27.132995607008564
ma_4336,f,25,Canton,14,ma_4336_m,6.240291445592509,讲,j,i3,ia3,20.77125216637869,20.826239095735964
ma_4336,f,25,Canton,14,ma_4336_m,7.082905895689728,他们,e5,m,n,41.13226097994334,41.15680943014235
ma_4336,f,25,Canton,14,ma_4336_m,6.110768350198114,后来,ai2,l,j,31.073017013526822,31.140688731880015
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,他,t,ei3,a1,11.142383493508772,11.268914301745374
ma_4336,f,25,Canton,14,ma_4336_m,6.910756999450018,先,n,ia1,sh,22.756360408664715,22.766643272642973
ma_4336,f,25,Canton,14,ma_4336_m,7.082905895689728,时间,ii2,sh,j,41.813836234811966,41.87542294761003
ma_4336,f,25,Canton,14,ma_4336_m,6.110768350198114,说,sh,uo3,uo1,32.216353390388676,32.30856717504985
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,不,b,ao3,u4,8.38980099124122,8.451572687122946
ma_4336,f,25,Canton,14,ma_4336_m,6.110768350198114,办法,a4,b,n,29.857171400380068,29.990294431644884
ma_4336,f,25,Canton,14,ma_4336_m,4.69246275567496,好,ao3,h,i1,58.12264460758549,58.32451953295047
ma_4336,f,25,Canton,14,ma_4336_m,5.3523265991775455,一,i1,ao4,g,36.251753256181956,36.35613320308653
ma_4336,f,25,Canton,14,ma_4336_m,6.911375217237614,我,uo3,uo1,j,39.87220359834847,39.92814036214359
ma_4336,f,25,Canton,14,ma_4336_m,6.110768350198114,跟,e1,g,n,32.0321404615608,32.09013207977529
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,啦,l,n,a1,9.256682553633047,9.281844475350091
ma_4336,f,25,Canton,14,ma_4336_m,6.472691739133782,这样,ia4,ei4,ng,24.463602627661096,24.515293241179013
ma_4336,f,25,Canton,14,ma_4336_m,5.275543428890118,晚上,ua3,n,n,14.723009413481773,14.852166565567643
ma_4336,f,25,Canton,14,ma_4336_m,7.082905895689728,老公,g,ao3,o1,43.70906038367024,43.80249586910107
ma_4336,f,25,Canton,14,ma_4336_m,5.275543428890118,晚上,a4,<SIL>,ng,14.938743994625527,14.987769767706496
ma_4336,f,25,Canton,14,ma_4336_m,6.135591012491206,懂,d,u4,o3,49.996233516961375,50.045205420072385
ma_4336,f,25,Canton,14,ma_4336_m,6.911375217237614,就,iu4,j,j,39.99294900733795,40.06849526796671
ma_4336,f,25,Canton,14,ma_4336_m,6.135591012491206,不,b,i4,u4,47.43457378849132,47.55853663194545
ma_4336,f,25,Canton,14,ma_4336_m,5.275543428890118,叫,iao4,j,uo3,16.31648369636529,16.453862617807147
ma_4336,f,25,Canton,14,ma_4336_m,6.240291445592509,是,ii4,sh,g,20.46975781597422,20.510665772392947
ma_4336,f,25,Canton,14,ma_4336_m,6.472691739133782,像,x,ai2,ia4,24.102201785563256,24.171919879952863
ma_4336,f,25,Canton,14,ma_4336_m,6.472691739133782,来,l,iao4,ai2,25.073074699994052,25.117251460082038
ma_4336,f,25,Canton,14,ma_4336_m,6.135591012491206,什么,e5,m,b,48.29918928699392,48.38158899951642
ma_4336,f,25,Canton,14,ma_4336_m,5.936037739949313,个,g,i1,e4,4.714174245357908,4.758651076635208
ma_4336,f,25,Canton,14,ma_4336_m,5.936037739949313,天,ia1,t,n,3.729547262777463,3.8474111611241892
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,搞,g,ie3,ao3,8.228665161107937,8.270646488109907
ma_4336,f,25,Canton,14,ma_4336_m,4.69246275567496,的,d,n,i4,57.760875322711485,57.77865328143681
ma_4336,f,25,Canton,14,ma_4336_m,5.936037739949313,他们,m,a1,e5,4.279899159707238,4.306091137117622
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,是,ii4,sh,t,8.739794897865291,8.783203533775035
ma_4336,f,25,Canton,14,ma_4336_m,7.082905895689728,但是,a,d,n,42.38737185657817,42.43579779817323
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,清,i1,q,ng,8.617579849525358,8.689471054431202
ma_4336,f,25,Canton,14,ma_4336_m,6.240291445592509,不,u4,b,sh,20.41603214296041,20.441026305034686
ma_4336,f,25,Canton,14,ma_4336_m,7.082905895689728,这个,e4,g,n,44.44049766685721,44.479360213894815
ma_4336,f,25,Canton,14,ma_4336_m,5.859734590612213,当然,a1,d,ng,7.75775232396425,7.822454408379509
