speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,晚上,n,ua3,sh,14.8,14.88
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,搞不清,g,ie3,ao3,8.19,8.28
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,去,v4,q,n,9.62,9.65
ma_4336,F,25,Canto,14,Canto_ma_4336,8.163265306122453,的,i4,d,uei4,1.59,1.62
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,不,b,iao4,u4,30.86,30.91
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,时候,ii2,sh,h,21.34,21.37
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,嘛,m,a3,a5,30.21,30.32
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,电话,ia4,d,n,15.79,15.84
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,英文,i1,<SIL>,ng,56.02,56.09
ma_4336,F,25,Canto,14,Canto_ma_4336,8.163265306122453,为什么,e5,m,<SIL>,1.89,2.05
ma_4336,F,25,Canto,14,Canto_ma_4336,6.9444444444444215,就,j,uo3,iu4,39.89,39.99
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,没,ei2,m,b,29.66,29.76
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,佳,j,<SIL>,ia1,46.32,46.35
ma_4336,F,25,Canto,14,Canto_ma_4336,7.500000000000027,先,x,<SIL>,ia1,22.6,22.63
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,不是,u2,b,sh,20.4,20.43
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,男的,n,e4,a2,57.5,57.56
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,的,i4,d,<SIL>,55.95,55.98
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,我,uo3,n,b,20.26,20.36
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,不是,ii4,sh,<SIL>,48.95,49.04
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,他,a1,t,uo3,29.03,29.06
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,这个,e4,g,zh,46.83,46.9
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,时间,sh,<SIL>,ii2,41.78,41.81
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,的,d,a1,i4,17.58,17.63
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,们,m,a1,e5,41.07,41.1
ma_4336,F,25,Canto,14,Canto_ma_4336,5.839416058394161,找到,zh,n,ao3,4.41,4.47
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,是,ii4,sh,i1,41.47,41.52
ma_4336,F,25,Canto,14,Canto_ma_4336,7.083333333333327,这,zh,i3,ei4,24.35,24.4
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,说,sh,u1,uo1,21.58,21.73
ma_4336,F,25,Canto,14,Canto_ma_4336,7.083333333333327,随便,uei2,s,b,24.64,24.72
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,那,n,a5,a4,21.12,21.19
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,这个,zh,e4,ei4,46.9,47.08
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,去,q,uo3,v4,16.62,16.82
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,时候,ou5,h,d,21.4,21.43
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,去,v4,q,d,42.15,42.21
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,像,ia4,x,ng,28.76,28.89
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,但,n,a4,uo3,30.62,30.67
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,不是,b,a4,u2,48.86,48.89
ma_4336,F,25,Canto,14,Canto_ma_4336,5.839416058394161,那天,t,a4,ia1,3.6,3.72
ma_4336,F,25,Canto,14,Canto_ma_4336,5.882352941176473,那么,e5,m,<SIL>,12.53,12.74
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,打,a3,d,d,31.58,31.67
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,老公,ng,o1,ie3,49.59,49.7
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,一些,x,i1,ie1,58.46,58.62
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,说,uo1,sh,t,55.52,55.62
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,李,i3,l,<SIL>,46.18,46.29
ma_4336,F,25,Canto,14,Canto_ma_4336,4.878048780487803,一定,i1,<SIL>,d,32.67,32.78
ma_4336,F,25,Canto,14,Canto_ma_4336,7.500000000000027,哪,ei3,n,<SIL>,22.95,23.0
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,我,uo3,iao4,q,16.44,16.62
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,不是,ii4,sh,g,20.46,20.49
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,搞不清,q,u4,i1,8.47,8.59
ma_4336,F,25,Canto,14,Canto_ma_4336,6.9444444444444215,我,uo3,i1,g,39.35,39.48
ma_4336,F,25,Canto,14,Canto_ma_4336,7.083333333333327,去,v4,q,d,25.56,25.65
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,电话,d,a3,ia4,31.67,31.72
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,一直,ii2,zh,d,31.48,31.52
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,这个,g,ei4,e4,57.44,57.47
ma_4336,F,25,Canto,14,Canto_ma_4336,5.839416058394161,他们,n,e5,zh,4.37,4.41
ma_4336,F,25,Canto,14,Canto_ma_4336,7.500000000000027,先,n,ia1,sh,22.68,22.76
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,嗯,n,e3,<SIL>,59.03,59.07
ma_4336,F,25,Canto,14,Canto_ma_4336,6.9444444444444215,跟,e1,g,n,39.54,39.57
ma_4336,F,25,Canto,14,Canto_ma_4336,5.839416058394161,钱,q,ou1,ia2,5.36,5.53
ma_4336,F,25,Canto,14,Canto_ma_4336,6.071428571428577,就,j,i3,iu4,34.82,34.88
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,跟,n,e1,uo3,32.05,32.11
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,回去,q,uei2,v4,29.53,29.56
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,就,iu4,j,x,28.44,28.66
ma_4336,F,25,Canto,14,Canto_ma_4336,5.839416058394161,那个,n,n,ei4,3.87,3.9
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,不懂,o3,d,<SIL>,47.68,47.77
ma_4336,F,25,Canto,14,Canto_ma_4336,4.878048780487803,我,uo3,iao4,<SIL>,33.15,33.49
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,回去,uei2,h,q,15.42,15.48
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,他,a1,t,<SIL>,11.26,11.47
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,什么,m,n,e5,48.27,48.3
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,没有,iou3,ei2,j,10.59,10.7
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,老公,g,ao3,o1,43.7,43.79
ma_4336,F,25,Canto,14,Canto_ma_4336,8.163265306122453,为什么,n,e2,m,1.82,1.85
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,还是,h,a1,ai2,42.63,42.66
ma_4336,F,25,Canto,14,Canto_ma_4336,5.454545454545448,我,uo3,<SIL>,<SIL>,19.56,19.68
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,吗,a5,m,n,21.07,21.12
ma_4336,F,25,Canto,14,Canto_ma_4336,5.839416058394161,因为,uei5,n,n,3.47,3.51
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,去,q,ii5,v4,9.53,9.62
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,他,a1,t,<SIL>,55.74,55.79
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,没,m,v4,ei2,29.59,29.66
ma_4336,F,25,Canto,14,Canto_ma_4336,4.935064935064934,好,ao3,h,i1,58.13,58.33
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,不懂,u4,b,d,47.55,47.58
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,我,uo3,a5,<SIL>,22.08,22.15
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,时候,sh,<SIL>,ii2,21.31,21.34
ma_4336,F,25,Canto,14,Canto_ma_4336,5.540897097625331,晚上,sh,n,a4,14.88,14.92
ma_4336,F,25,Canto,14,Canto_ma_4336,7.174887892376692,那,a4,n,<SIL>,21.19,21.22
ma_4336,F,25,Canto,14,Canto_ma_4336,6.157635467980292,打,d,ii2,a3,31.52,31.58
ma_4336,F,25,Canto,14,Canto_ma_4336,5.494505494505494,他,t,ei3,a1,11.13,11.26
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,还是,ii5,sh,iao4,42.79,42.82
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,懂,d,u4,o3,49.93,50.06
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,一个,i1,ii4,g,41.52,41.64
ma_4336,F,25,Canto,14,Canto_ma_4336,7.571801566579624,要,iao4,ii5,x,42.82,43.06
ma_4336,F,25,Canto,14,Canto_ma_4336,6.315789473684211,老公,ao3,l,g,49.37,49.5
